項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
301,旅遊景點,全家便利商店西屯福星路好市店(公話),407,臺中市,西屯區,臺中市西屯區福星路330號之6,Tourist Spots,"Family Mart convenience store, Fuxing Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.330-6, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
302,旅遊景點,臺中市逢甲商圈(福興路330號),407,臺中市,西屯區,臺中市西屯區福星路330號,Tourist Spots,"Fengjia Shopping District(No.330, Fuxing Rd.), Taichung City",Taichung City,Xitun District,"No.330, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
303,旅遊景點,臺中市逢甲商圈(西安街277巷25弄5號),407,臺中市,西屯區,臺中市西屯區西安街277巷25弄5號,Tourist Spots,"Fengjia Shopping District(No.5, Aly. 25, Ln. 277, Xi'an St.), Taichung City",Taichung City,Xitun District,"No.5, Aly. 25, Ln. 277, Xi'an St., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
304,旅遊景點,臺中市逢甲商圈(逢甲路198號之1),407,臺中市,西屯區,臺中市西屯區逢甲路198號之1,Tourist Spots,"Fengjia Shopping District(No. 198-1, Fengjia Rd.), Taichung City",Taichung City,Xitun District,"No.198-1, Fengjia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
305,旅遊景點,統一超商西屯福星路逢大店(公話),407,臺中市,西屯區,臺中市西屯區福星路580號,Tourist Spots,"7-Eleven convenience store, Fuxing Rd., Xitun Dist., Taichung City ",Taichung City,Xitun District,"No.580, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
306,旅遊景點,臺中市逢甲商圈(逢甲路2號),407,臺中市,西屯區,臺中市西屯區西平里逢甲路2號,Tourist Spots,"Fengjia Shopping District(No.2, Fengjia Rd.), Taichung City",Taichung City,Xitun District,"No.2, Fengjia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
307,旅遊景點,臺中市逢甲商圈(福興路427號),407,臺中市,西屯區,臺中市西屯區福星路427號,Tourist Spots,"Fengjia Shopping District(No.427, Fuxing Rd.), Taichung City",Taichung City,Xitun District,"No.427, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
308,旅遊景點,臺中市一中商圈(尊賢街11號),404,臺中市,北區,臺中市北區尊賢街11號,Tourist Spots,"Yizhong Shopping District(No.11, Zunxian St.), Taichung City",Taichung City,North District,"No.11, Zunxian St., North Dist., Taichung City 404, Taiwan (R.O.C.)"
309,旅遊景點,臺中市梧棲觀光漁港電信亭(公話),436,臺中市,清水區,臺中市清水區北堤路30號,Tourist Spots,Taichung City Wuci Fishing Port,Taichung City,Qingshui District,"No.30, Beiti Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
310,旅遊景點,統一超商北區三民路新育才店(公話),404,臺中市,北區,臺中市北區三民路3段116號,Tourist Spots,"7-Eleven convenience store, Sec. 3, Sanmin Rd., North Dist., Taichung City ",Taichung City,North District,"No.116, Sec. 3, Sanmin Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
311,旅遊景點,統一超商北區錦新路錦新店(公話),404,臺中市,北區,臺中市北區錦新街70號之2,Tourist Spots,"7-Eleven convenience store, Jinxin St., North Dist., Taichung City ",Taichung City,North District,"No.70-2, Jinxin St., North Dist., Taichung City 404, Taiwan (R.O.C.)"
312,旅遊景點,統一超商北區雙十路雙行店(公話),404,臺中市,北區,臺中市北區雙十路2段47號,Tourist Spots,"7-Eleven convenience store, Sec. 2, Shuangshi Rd., North Dist., Taichung City ",Taichung City,North District,"No.47, Sec. 2, Shuangshi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
313,旅遊景點,臺中市一中商圈(雙十路二段5號)(公話),404,臺中市,北區,臺中市北區雙十路二段5號,Tourist Spots,"Yizhong Shopping District(No. 5, Sec. 2, Shuangshi Rd.), Taichung City",Taichung City,North District,"No.5, Sec. 2, Shuangshi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
314,旅遊景點,統一超商中區建國路聯鑫店(公話),400,臺中市,中區,臺中市中區建國路145號,Tourist Spots,"7-Eleven convenience store, No. 145, Jianguo Rd., Central Dist., Taichung City",Taichung City,Central District,"No. 145, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
315,旅遊景點,全家便利商店北屯東山路培鶯店(公話),406,臺中市,北屯區,臺中市北屯區東山路2段51號之11,Tourist Spots,"Family Mart convenience store, Sec. 2, Dongshan Rd., Beitun Dist., Taichung City",Taichung City,Beitun District,"No.51-11, Sec. 2, Dongshan Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
316,旅遊景點,臺中市大坑商圈(東山路2段30號),406,臺中市,北屯區,臺中市北屯區東山路2段30號,Tourist Spots,"DaKeng Shopping District(No.30, Sec. 2, Dongshan Rd.), Taichung City",Taichung City,Beitun District,"No.30, Sec. 2, Dongshan Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
317,旅遊景點,統一超商北屯橫坑巷大坑店(公話),406,臺中市,北屯區,臺中市北屯區橫坑巷28號之1,Tourist Spots,"7-Eleven convenience store, Hengkeng Ln., Beitun Dist., Taichung City ",Taichung City,Beitun District,"No.28-1, Hengkeng Ln., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
318,旅遊景點,統一超商北區天津路文津店(公話),404,臺中市,北區,臺中市北區天津路2段138號之11,Tourist Spots,"7-Eleven convenience store, Sec. 2, Tianjin Rd., North Dist., Taichung City ",Taichung City,North District,"No.138-11, Sec. 2, Tianjin Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
319,旅遊景點,臺中市大坑商圈(東山路2段22號之1)(公話),406,臺中市,北屯區,臺中市北屯區東山路2段22號之1,Tourist Spots,"DaKeng Shopping District(No. 22-1, Sec. 2, Dongshan Rd.), Taichung City",Taichung City,Beitun District,"No.22-1, Sec. 2, Dongshan Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
320,旅遊景點,統一超商北區北平路新北平店,404,臺中市,北區,臺中市北區北平路二段96號,Tourist Spots,"7-Eleven convenience store, No. 96, Sec. 2, Beiping Rd., North Dist., Taichung City",Taichung City,North District,"No. 96, Sec. 2, Beiping Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
321,旅遊景點,全家便利商店中區成功路繼成店(公話),400,臺中市,中區,臺中市中區成功路108號,Tourist Spots,"Family Mart convenience store, Chenggong Rd., Central Dist., Taichung City",Taichung City,Central District,"No.108, Chenggong Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
322,旅遊景點,臺中市繼光街商圈(綠川西街135號),400,臺中市,中區,臺中市中區綠川西街135號,Tourist Spots,"Jiguang Shopping District(No.135, Luchuan W. St.), Taichung City",Taichung City,Central District,"No.135, Luchuan W. St., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
323,旅遊景點,臺中市大里中興商圈(中興路二段313號),412,臺中市,大里區,臺中市大里區中興路二段313號,Tourist Spots,"Dali Shopping District(No. 313, Sec. 2, Zhongxing Rd.), Taichung City",Taichung City,Dali District,"No. 313, Sec. 2, Zhongxing Rd., Dali Dist., Taichung City 412, Taiwan (R.O.C.)"
324,旅遊景點,臺中市繼光街商圈(繼光街124號),400,臺中市,中區,臺中市中區繼光街124號,Tourist Spots,"Jiguang Shopping District(No.124, Jiguang St.), Taichung City",Taichung City,Central District,"No.124, Jiguang St., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
325,旅遊景點,臺中市電子街商圈(綠川西街119號),400,臺中市,中區,臺中市中區綠川西街119號,Tourist Spots,"Jiguang Shopping District(No.119, Luchuan W. St.), Taichung City",Taichung City,Central District,"No.103, Luchuan W. St., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
326,旅遊景點,臺中市大隆路商圈(大隆路56號),407,臺中市,西屯區,臺中市西屯區大隆路56號,Tourist Spots,"Dalong Shopping District(No.56, Dalong Rd.), Taichung City",Taichung City,Xitun District,"No.56, Dalong Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
327,旅遊景點,臺中火車站周邊(建國路89號)(公話),400,臺中市,中區,臺中市中區建國路89號,Tourist Spots,"Surrounding of Taichung Train Station(No.89, Jianguo Rd.), Taichung City",Taichung City,Central District,"No.89, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
328,旅遊景點,臺中市繼中派出所(公話),400,臺中市,中區,臺中市中區中山路9號,Tourist Spots,"Jijhong Police station, Taichung City",Taichung City,Central District,"No.9, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
329,旅遊景點,全家便利商店西屯文華路福氣店(公話),407,臺中市,西屯區,臺中市西屯區文華路105號,Tourist Spots,"Family Mart convenience store, Wenhua Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.105, Wenhua Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
330,大眾運輸節點,臺中火車站周邊(建國路216號),400,臺中市,中區,臺中市中區建國路216號,Public Transportation,"Surrounding of Taichung Train Station(No.216, Jianguo Rd.), Taichung City",Taichung City,Central District,"No.216, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
331,旅遊景點,全家便利商店中區中山路狀元店(公話),400,臺中市,中區,臺中市中區中山路19號,Tourist Spots,"Family Mart convenience store, Zhongshan Rd., Central Dist., Taichung City",Taichung City,Central District,"No.19, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
332,旅遊景點,全家便利商店北區一中街一中讚店,404,臺中市,北區,臺中市北區一中街253號,Tourist Spots,"Family Mart convenience store, No.253, Yizhong St., North Dist., Taichung City",Taichung City,North District,"No.253, Yizhong St., North Dist., Taichung City 404, Taiwan (R.O.C.)"
333,大眾運輸節點,臺中市國光客運朝馬站(公話),407,臺中市,西屯區,臺中市西屯區朝富路8號,Public Transportation,"Kuokuang Bus Chaoma Station, Taichung City",Taichung City,Xitun District,"No.8, Chaofu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
334,大眾運輸節點,臺中市統聯客運朝馬站(公話),407,臺中市,西屯區,臺中市西屯區潮洋里朝富路22號,Public Transportation,"United Hughway Bus Chaoma Station, Taichung City",Taichung City,Xitun District,"No.22, Chaofu Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
335,大眾運輸節點,臺中市統聯客運中港轉運站1(公話),407,臺中市,西屯區,臺中市西屯區臺灣大道四段637號,Public Transportation,"United Hughway Bus Taichung Port Station1, Taichung City",Taichung City,Xitun District,"No.637, Sec. 4, Taiwan Blvd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
336,大眾運輸節點,臺中市統聯客運中港轉運站2(公話),407,臺中市,西屯區,臺中市西屯區臺灣大道四段637號,Public Transportation,"United Hughway Bus Taichung Port Station2, Taichung City",Taichung City,Xitun District,"No.637, Sec. 4, Taiwan Blvd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
337,大眾運輸節點,臺中市國光客運水湳站(公話),406,臺中市,北屯區,臺中市北屯區中清路2段346號,Public Transportation,"Kuokuang Bus Shuinan Station, Taichung City",Taichung City,Beitun District,"No.346, Sec. 2, Zhongqing Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
338,大眾運輸節點,臺中市統聯客運水湳站(公話),406,臺中市,北屯區,臺中市北屯區中清路2段366號,Public Transportation,"United Hughway Bus Shuinan Station, Taichung City",Taichung City,Beitun District,"No.366, Sec. 2, Zhongqing Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
339,大眾運輸節點,臺中市豐客客運東勢站(公話),423,臺中市,東勢區,臺中市東勢區豐勢路488號,Public Transportation,"Fengyuan Bus Dongshi Station, Taichung City",Taichung City,Dongshi Dist,"No.488, Fengshi Rd., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
340,大眾運輸節點,臺中市豐原客運總站(公話),420,臺中市,豐原區,臺中市豐原區三民路46號,Public Transportation,"Fengyuan Bus Terminus, Taichung City",Taichung City,Fengyuan District,"No.46, Sanmin Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
341,大眾運輸節點,豐原葫蘆墩文化旅遊派出所前公話亭,420,臺中市,豐原區,臺中市豐原區中正路5號,Public Transportation,"Fengyuan Huludun Cultural Travel Police station, Taichung City",Taichung City,Fengyuan District,"No.5, Zhongzheng Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
342,大眾運輸節點,臺中市台鐵新烏日站(公話),414,臺中市,烏日區,臺中市烏日區高鐵東一路26號2樓,Public Transportation,"Taiwan Railways Administration New Wurih station, Taichung City",Taichung City,Wuri District,"2F., No.26, Gaotie E. 1st Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
343,大眾運輸節點,臺中市台鐵新烏日站台灣鐵道故事館(公話),414,臺中市,烏日區,臺中市烏日區高鐵東一路26號2樓,Public Transportation,"Taiwan Railway Story House, Taiwan Railways Administration New Wurih station , Taichung City",Taichung City,Wuri District,"2F., No.26, Gaotie E. 1st Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
344,大眾運輸節點,臺中市巨業客運沙鹿站(公話),433,臺中市,沙鹿區,臺中市沙鹿區和平街2號,Public Transportation,"Geya Bus Shalu Station, Taichung City",Taichung City,Shalu District,"No.2, Heping St., Shalu Dist., Taichung City 433, Taiwan (R.O.C.)"
345,大眾運輸節點,臺中市大甲火車站(公話),437,臺中市,大甲區,臺中市大甲區中山路一段828號,Public Transportation,"Dajia Train Station, Taichung City",Taichung City,Dajia District,"No.828, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
346,其他,全家便利商店大甲中山路鐵山店(公話),437,臺中市,大甲區,臺中市大甲區中山路1段1549號,Others,"Family Mart convenience store, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City",Taichung City,Dajia District,"No.1549, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
347,其他,統一超商大甲中山路義和店(公話),437,臺中市,大甲區,臺中市大甲區中山路1段492號,Others,"7-Eleven convenience store, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City ",Taichung City,Dajia District,"No.492, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
348,其他,全家便利商店大甲中山路車頭店(公話),437,臺中市,大甲區,臺中市大甲區中山路1段951號,Others,"Family Mart convenience store, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City ",Taichung City,Dajia District,"No.951, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
349,其他,全家便利商店大甲水源路甲中店(公話),437,臺中市,大甲區,臺中市大甲區水源路1號,Others,"Family Mart convenience store, Shuiyuan Rd., Dajia Dist., Taichung City ",Taichung City,Dajia District,"No.1, Shuiyuan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
350,其他,全家便利商店大甲水源路水源店(公話),437,臺中市,大甲區,臺中市大甲區水源路450號,Others,"Family Mart convenience store, Shuiyuan Rd., Dajia Dist., Taichung City ",Taichung City,Dajia District,"No.450, Shuiyuan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
351,其他,統一超商-大甲甲后路金甲后店(公話),437,臺中市,大甲區,臺中市大甲區甲后路8號,Others,"7-Eleven convenience store, Jiahou Rd., Dajia Dist., Taichung City ",Taichung City,Dajia District,"No.8, Jiahou Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
352,其他,統一超商大甲光明路媽祖店(公話),437,臺中市,大甲區,臺中市大甲區光明路1號,Others,"7-Eleven convenience store, Guangming Rd., Dajia Dist., Taichung City",Taichung City,Dajia District,"No.1, Guangming Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
353,其他,統一超商大甲順天路順天店(公話),437,臺中市,大甲區,臺中市大甲區順天路154號,Others,"7-Eleven convenience store, Shuntian Rd., Dajia Dist., Taichung City",Taichung City,Dajia District,"No.154, Shuntian Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
354,其他,統一超商大甲經國路新美店(公話),437,臺中市,大甲區,臺中市大甲區經國路329號,Others,"7-Eleven convenience store, Jingguo Rd., Dajia Dist., Taichung City",Taichung City,Dajia District,"No.329, Jingguo Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
355,其他,全家便利商店大安中山南路全盈店(公話),439,臺中市,大安區,臺中市大安區中山南路334號,Others,"Family Mart convenience store, Zhongshan S. Rd., Da’an Dist., Taichung City",Taichung City,Daan District,"No.334, Zhongshan S. Rd., Da’an Dist., Taichung City 439, Taiwan (R.O.C.)"
356,其他,全家便利商店大肚大明三街新市鎮店(公話),432,臺中市,大肚區,臺中市大肚區大明三街152號,Others,"Family Mart convenience store, Daming 3rd St., Dadu Dist., Taichung City",Taichung City,Dadu District,"No.152, Daming 3rd St., Dadu Dist., Taichung City 432, Taiwan (R.O.C.)"
357,其他,全家便利商店大肚大德三街高山店(公話),432,臺中市,大肚區,臺中市大肚區大德三街38號,Others,"Family Mart convenience store, Dade 3rd St., Dadu Dist., Taichung City",Taichung City,Dadu District,"No.38, Dade 3rd St., Dadu Dist., Taichung City 432, Taiwan (R.O.C.)"
